station_id,capacity
1,44|45|46|47
2,27|28|29
3,23|25|26|27
4,20|21
5,19|24|26|38|39
6,38|39
7,25|26|27|28
8,25|26|27
9,26|27
10,21|22|27|28|29|31|40|41|42|43
11,18|21|25|33|34|35|36
12,6|18|25|26
13,53|54
14,14|26|27
15,1|27
17,41|42
18,25|26|27
19,29|30
20,16|17|18
21,20|21
22,17|19
23,26|27
24,9|24|29|30|37|38|39|40
25,20|21|22
26,17|18
27,17|21
28,22|23
29,21|22|23
30,28|29
31,16|17|18|19
32,14|15|34|35
33,1|20|21
34,20|21
35,42|43|53|54
36,19|20|21
37,22|23|24
39,43|44
40,16|17|18
41,21|23|24|25
42,23|24
43,8|9|12|19|20|23|26|27
44,11|12|13|16|17|20|21
45,24|25|26|27
46,53|54|55
47,23|24|46|47
48,19|20|21
49,20|21
50,2|4|7|14|17|18
51,19|20
52,20|31|32|33
53,9|20|21
54,18|19
55,17|18|19|27
56,26|27
57,19|20|21|22|23|24|25
58,21|37|38|40|41|42|43
59,1|9|18|19|21|22|23
60,26|27
61,18|19|20|21|26
62,23|24|25|26
63,25|26|27
64,21
65,19|20|21|22
66,14|15|16
67,22|23|24
68,26|27
69,40|41|42|43
70,26|27
71,19|20|21|27
72,17|25|26|27
73,24|25|26|27
74,14|15
75,19|20|21
76,31|32
77,22|23|24|25
78,26|27|28
79,22|23|24
80,20|21|25
81,1|2|3|8|12|13|18|19|20|21
82,1|6|7|10|11|13|14|32|37|38|39|40
83,22|23|24
84,25|26|27
85,16|22|26|33|34|37|38|39|40|41
86,26|27
87,1|4|9|14|23|24|25|26
88,2|4|5|10|11|12|13|14|18|19|20
89,22|23|24|25|26|27
90,17|18|19
91,19|34|35
92,16|17|18
93,24
94,24|44|45|46|47|48|49
95,14|17|20|32|33
96,21
97,20|21
98,19|20|21
99,20|21
100,21|22
101,23|24
102,23|24
103,7|13|15|16|19|20|21
104,25|26
105,19|20|21
106,19|20
107,18|19|20
108,20|21
109,1|22|23|24
110,17|19|20|21
111,1|18|19|26|27
112,19|20
113,32|33|34
114,19|20
115,19|20|21
116,1|25|26|27|29|30|35
117,21
118,25|26|27|28
119,38|39
120,21
121,9|13|17|18|20|21
122,21|23|24|25|32|33
123,20|21
124,27|28|29|30|31
125,8|16|17|19|20|21|29
126,21|22|23
127,25|26|27
128,42|43
129,15|22|23|33|34
130,23|24
131,26|27|28|29
132,1|2|3|4|5|12|14|15|19|23|24|25|26|27
133,14|15|16
134,20|21
135,20|21
136,30|31
137,24|25
138,20|21
139,33|34|35
140,26|27
141,31|32
142,31|32|39|40|52
143,25|26|27|28
144,26|27|28
145,27
146,22|23|24
147,4|21|31|32|33
148,25|26|27
149,25|26|27|28
150,13|24|25|26|27
151,19|24|26|27|31
152,1|7|26|27|30|31|39
153,22|23
154,31|32
155,30|31|32
156,25|26|27
157,32|33
158,26|27|30|31
159,31|32|35|36
160,8|32|33
161,26|27
162,26|27
163,25|26|27
164,24|25|26|27
165,26|27
166,26|27|28
167,9|20|21
168,24|25|26|27|28
170,53|54|55
171,51|52|53|54
173,24|25|26|27
174,26|27
175,1|24|25|26|27
176,29|30|31
177,32|33|34|37|38
178,1|26|27|28
179,3|10|15|16
180,49|50|51|52
182,22|31|32|33
183,27|29|30|31
184,26|27
185,13|15|16|17
186,25|26
187,5|15|16|17|18|19
188,26|27
189,27|28
190,27|28|29
191,1|27|28|31|33|35|36|37
192,20|21
193,26|27
194,23|24
195,26|27
196,26|27
197,26|27
198,26|27|28
199,8|26|27
200,22|23|24
201,23|24
202,26|27
203,32|33
204,3|32|33
205,28|29|32|33|37
206,29|30|31|32|33
207,23|24|25
208,31|32|33
209,25|26
210,30|31|32
211,15|16|24|25|26|27|28
212,23|24
213,31|32|33
214,24|25
215,20|21
216,26|27
217,26|27
218,38|39
219,23|24|25|26
220,25|26|27
221,22|23|24
222,25|26|27
223,35|36
224,25|26
225,23|24|25
226,25|26|27
227,16|17|18
228,20|21
229,27|28
230,24|25|26
231,22|23|24
232,25|26|27
233,25|26|27|28
234,26|27
235,18|19|20|21|22|28|29|30|31
236,25|26
237,26|27
238,26|27
239,26|27|34|35
240,26|27
241,4|32|33
242,26|27
243,25|26|27
244,26|27
245,24|26|27
246,15|17|18
247,31|32
248,26|27
249,24|25|26|27
250,26|27
251,32|33
252,31|32|33
253,25|26|27
254,25|26
255,14|15|17|18
256,29|30|31|32
