station_id,physical_configuration,latitud,longitud,address,post_code,capacity,last_updated
93.0,ELECTRICBIKESTATION,41.3756316,2.1496688,"GRAN VIA DE LES CORTS CATALANES, 375-385",08015,24.0,1594173301.0
530.0,VALET,41.3478546,2.1194099,MercÃ¨,00001,1.0,1607011539.0
529.0,VALET,41.3477678,2.1193889,Nassos,00001,1.0,1629108889.0
532.0,ELECTRICBIKESTATION,41.3579371,2.1276487,2198 Avinguda de la Granvia de lâHospitalet,08908,1.0,1668323989.0
521.0,ELECTRICBIKESTATION,41.3784613,2.1573597,"C/ Calabria, 66",08015,2.0,1715703306.0
533.0,VALET,41.3477079,2.1193519,Gera_Testing - 533,,1.0,1720730401.0
535.0,VALET,41.3477748,2.119392,Testing - 535,,0.0,1722932405.0
520.0,ELECTRICBIKESTATION,41.3476951,2.11948,TALLER R. BARRADAS,08908,16.0,1724153399.0
545.0,ELECTRICBIKESTATION,40.3442,-3.5326,RIVAS Pruebas,,3.0,1741004701.0
588.0,,41.4070304,2.1185343,"C/ SANTÃSSIMA TRINITAT DEL MONT, 1",,0.0,1747299604.0
593.0,,41.3541573,2.136464,C/ FERRO | C/ FOC,,0.0,1747300804.0
594.0,,41.4083722,2.1846656,"C/ ENAMORATS, 147",,0.0,1747302905.0
366.0,ELECTRICBIKESTATION,41.3811389,2.1729755,"LA RAMBLA, 75",08001,18.0,1749713701.0
87.0,ELECTRICBIKESTATION,41.3832223888737,2.14799319162966,"C/ ROCAFORT, 187",08029,25.0,1751900105.0
179.0,ELECTRICBIKESTATION,41.36352,2.1369015,"PG. ZONA FRANCA, 244",08038,16.0,1752825004.0
585.0,ELECTRICBIKESTATION,41.4020355,2.122799,"C/ MARGENAT, 42",08017,24.0,1756368303.0
325.0,ELECTRICBIKESTATION,41.3949601,2.1302775,"C/ ALT DE GIRONELLA, 13",08017,23.0,1758522602.0
536.0,ELECTRICBIKESTATION,41.3476951,2.11948,Rafael Barradas 5,08908,1.0,1758803402.0
1.0,ELECTRICBIKESTATION,41.3979779,2.1801069,"GRAN VIA CORTS CATALANES, 760",08013,46.0,1759269304.0
2.0,ELECTRICBIKESTATION,41.3954877,2.1771985,"C/ ROGER DE FLOR, 126",08013,28.0,1759269304.0
3.0,ELECTRICBIKESTATION,41.3941557,2.1813305,"C/ NÃPOLS, 82",08013,27.0,1759269304.0
4.0,ELECTRICBIKESTATION,41.3933173,2.1812483,"C/ RIBES, 13",08013,21.0,1759269304.0
5.0,ELECTRICBIKESTATION,41.3911035,2.1801763,"PG. LLUIS COMPANYS, 11 (ARC TRIOMF)",08018,39.0,1759269304.0
6.0,ELECTRICBIKESTATION,41.3914292,2.1805685,"PG. LLUIS COMPANYS, 18  (ARC TRIOMF)",08018,39.0,1759269304.0
7.0,ELECTRICBIKESTATION,41.388885,2.18329,"PG. PUJADES,  1 (JUTJATS)",08003,27.0,1759269304.0
8.0,ELECTRICBIKESTATION,41.389135,2.183489,"PG. PUJADES, 2",08003,27.0,1759269304.0
9.0,ELECTRICBIKESTATION,41.384546,2.184922,"AV. MARQUÃS DE L'ARGENTERA,13",08003,27.0,1759269304.0
10.0,ELECTRICBIKESTATION,41.3467746,2.1436235,"C/ 60, NÃMERO 25",08040,43.0,1759269304.0
11.0,ELECTRICBIKESTATION,41.382398,2.194294,"PG. MARITIM, 11 (DAVANT PL. BRUGADA)",08003,35.0,1759269304.0
12.0,ELECTRICBIKESTATION,41.3833653,2.1946255,"PG. MARITIM, 23 (HOSPITAL DEL MAR)",08003,26.0,1759269304.0
13.0,ELECTRICBIKESTATION,41.388143,2.195551,"C/ MARINA, 25-33",08005,53.0,1759269304.0
14.0,ELECTRICBIKESTATION,41.384844,2.185085,"AV. MARQUÃS DE  L'ARGENTERA, 15",08003,27.0,1759269304.0
15.0,ELECTRICBIKESTATION,41.3916117009235,2.16890319787512,"C/ DIPUTACIÃ, 272",08009,27.0,1759269304.0
17.0,ELECTRICBIKESTATION,41.3982615,2.1866517,"AV. MERIDIANA, 47 (D)",08013,42.0,1759269304.0
18.0,ELECTRICBIKESTATION,41.4060589,2.1740472,"C/ ROSSELLÃ, 453",08025,27.0,1759269304.0
19.0,ELECTRICBIKESTATION,41.4031491,2.1707947,"C/ ROSSELLÃ, 354",08025,30.0,1759269304.0
20.0,ELECTRICBIKESTATION,41.410314,2.1757334,"C/ CARTAGENA, 308",08025,18.0,1759269304.0
21.0,ELECTRICBIKESTATION,41.4108439,2.1740575," C/ SANT ANTONI MARIA CLARET, 214   ",08025,21.0,1759269304.0
22.0,ELECTRICBIKESTATION,41.4016969,2.175767,"C/ SARDENYA, 292",08013,19.0,1759269304.0
23.0,ELECTRICBIKESTATION,41.3924661,2.1717397,"C/ BRUC, 45",08010,27.0,1759269304.0
24.0,ELECTRICBIKESTATION,41.4005784,2.1788855,"C/ MARINA, 199",08013,39.0,1759269304.0
25.0,ELECTRICBIKESTATION,41.3954041,2.1681961,"C/ BRUC, 102",08009,22.0,1759269304.0
26.0,ELECTRICBIKESTATION,41.4071692,2.1820722,"C/ DOS DE MAIG, 230-232",08013,18.0,1759269304.0
27.0,ELECTRICBIKESTATION,41.3967524,2.1646338,"C/ PROVENÃA, 322",08037,17.0,1759269304.0
28.0,ELECTRICBIKESTATION,41.4055143,2.1706498,"C/ SARDENYA, 362",08025,23.0,1759269304.0
29.0,ELECTRICBIKESTATION,41.401061,2.169941,"C/ PROVENÃA, 388-390",08025,23.0,1759269304.0
30.0,ELECTRICBIKESTATION,41.4021805,2.1829894,"C/ CASTILLEJOS, 184",08013,29.0,1759269304.0
31.0,ELECTRICBIKESTATION,41.3748001,2.1889045,PL. DEL MAR,08003,18.0,1759269304.0
32.0,ELECTRICBIKESTATION,41.3736911,2.188928,LA BARCELONETA (CN BARCELONETA),08003,35.0,1759269304.0
33.0,ELECTRICBIKESTATION,41.37686,2.19067,"C/ PONTEVEDRA, 58B | C/ JUDICI",08003,20.0,1759269304.0
34.0,ELECTRICBIKESTATION,41.3871079,2.1753364,"C/ SANT PERE MÃS ALT, 4",08003,21.0,1759269304.0
35.0,ELECTRICBIKESTATION,41.4134833,2.2206913,"C/ SANT RAMON DE PENYAFORT, 1",08930,54.0,1759269304.0
36.0,ELECTRICBIKESTATION,41.3850616,2.1766834,"AV. DE LA CATEDRAL, 6",08002,21.0,1759269304.0
37.0,ELECTRICBIKESTATION,41.380624,2.1820675,PG. DE COLOM - VIA LAIETANA,08002,24.0,1759269304.0
39.0,ELECTRICBIKESTATION,41.381046,2.186576,PL. PAU VILA (D),08039,44.0,1759269304.0
40.0,ELECTRICBIKESTATION,41.382335,2.187093,"C/ DOCTOR AIGUADER, 2",08039,18.0,1759269304.0
41.0,ELECTRICBIKESTATION,41.379326,2.189906,PL. POETA BOSCÃ | C/ ATLÃNTIDA,08003,24.0,1759269304.0
42.0,ELECTRICBIKESTATION,41.404511,2.189881,"C/ CIUTAT DE GRANADA, 168| AV.DIAGONAL",08018,24.0,1759269304.0
43.0,ELECTRICBIKESTATION,41.4063864,2.1874404,"C/ CLOT, 1",08018,27.0,1759269304.0
44.0,ELECTRICBIKESTATION,41.4014737309554,2.1867650955646,"AV. MERIDIANA, 71",08018,21.0,1759269304.0
45.0,ELECTRICBIKESTATION,41.391466,2.189371,"C/ SARDENYA, 66",08005,27.0,1759269304.0
46.0,ELECTRICBIKESTATION,41.3886065969256,2.19219450845947,"C/ VILLENA, 1",08005,54.0,1759269304.0
47.0,ELECTRICBIKESTATION,41.3902194,2.1904003,"C/ RAMON TRIAS FARGAS, 21",08005,47.0,1759269304.0
48.0,ELECTRICBIKESTATION,41.3960652,2.1871959,"AV. MERIDIANA, 40",08018,21.0,1759269304.0
49.0,ELECTRICBIKESTATION,41.3910756,2.1965766,"C/ ROSA SENSAT, 20",08005,21.0,1759269304.0
50.0,ELECTRICBIKESTATION,41.3751145,2.1709386,"AV. PARAL.LEL, 54",08004,18.0,1759269304.0
51.0,ELECTRICBIKESTATION,41.3842634,2.1692556,PL. VICENÃ MARTORELL,08001,20.0,1759269304.0
52.0,ELECTRICBIKESTATION,41.381708,2.177292,"PL. SANT MIQUEL, 4",08002,32.0,1759269304.0
53.0,ELECTRICBIKESTATION,41.385086,2.174016,PL. CARLES PI I SUNYER,08002,21.0,1759269304.0
54.0,ELECTRICBIKESTATION,41.3775319,2.1707321,"C/ SANT OLEGUER, 2",08001,19.0,1759269304.0
55.0,ELECTRICBIKESTATION,41.380195,2.1744801,"LA RAMBLA, 56",08002,27.0,1759269304.0
56.0,ELECTRICBIKESTATION,41.3770715,2.1758261,"PORTAL DE SANTA MADRONA, 2-4",08001,27.0,1759269304.0
57.0,ELECTRICBIKESTATION,41.376326,2.176971,"LA RAMBLA, 1",08002,21.0,1759269304.0
58.0,ELECTRICBIKESTATION,41.3845757386794,2.16626169311522,"C/ VALLDONZELLA, 2",08001,21.0,1759269304.0
59.0,ELECTRICBIKESTATION,41.3813815397747,2.16807754829512,"C/ AGUSTÃ DURAN I SANPERE, 1",08001,22.0,1759269304.0
60.0,ELECTRICBIKESTATION,41.3902625,2.164035,"RBLA. CATALUNYA, 47",08007,27.0,1759269304.0
61.0,ELECTRICBIKESTATION,41.39352,2.166797,"C/ ARAGÃ, 288",08009,26.0,1759269304.0
62.0,ELECTRICBIKESTATION,41.387235,2.168819,"PL. CATALUNYA, 5",08002,25.0,1759269304.0
63.0,ELECTRICBIKESTATION,41.386543,2.169427,"PL. CATALUNYA, 7",08002,27.0,1759269304.0
64.0,ELECTRICBIKESTATION,41.387493,2.1690686,"PL. CATALUNYA, 10-11 (LA RAMBLA)",08002,21.0,1759269304.0
